𑐀𑐄𑐮 | अउल | əulə | (aula) | Noun | 1. malaria
𑐀𑑄𑐐𑑅 | अंगः | ə̃ːɡəː | (aṃga:) | Noun | 1. wall
𑐀𑑄𑐐𑑂𑐬𑐾𑐖𑐷 | अंग्रेजी | ə̃ːɡɾed͡ʑiː | (aṃgrejī) | Adjective | 1. English (language)
𑐀𑐖𑐶 | अजि | əd͡ʑi | (aji) | Noun | 1. paternal_grandmother
𑐀𑐥𑐵 | अपा | əpa | (apā) | Noun | 1. brick
𑐀𑐧𑐸 | अबु | əbu | (abu) | Noun | 1. father
𑐀𑐩𑑂𑐥𑐶 | अम्पि | əmpi | (ampi) | Noun | 1. spleen
𑐀𑐫𑑂 | अय् | ɛː | (ê) | _ | 1. Used to represent the [ɛː] sound in Newar
𑐀𑐫𑑂‌𑐮𑐵𑑅 | अय्‌लाः | ɛːlaː | (êlā:) | Noun | 1. alcohol, distilled beverage
𑐀𑐮𑑅𑐩𑐵 | अलःमा | ələːma | (ala:mā) | Noun | 1. castor_oil_plant
𑐀𑐮𑑂𑐫𑐵𑐏 | अल्याख | əljakʰə | (alyākha) | Noun | 1. (mathematics) infinity
𑐁𑐣𑑂𑐢𑑂𑐬𑐥𑑂𑐬𑐡𑐾𑐱 | आन्ध्रप्रदेश | andʱɾə pɾədes | (āndhrapradeśa) | Noun | 1. Andhra_Pradesh
𑐁𑐩𑑂𑐥𑐵𑑄 | आम्पां | ampãː | (āmpāṃ) | Noun | 1. anus
𑐁𑐫𑑂 | आय् | æː | (æ) | _ | 1. Used to represent the [æː] sound in Newar
𑐁𑐮𑐸𑐥𑐴𑑅 | आलुपहः | alupəhəː | (ālupaha:) | Noun | 1. (physics) plasticity
𑐂𑐏𑐸𑑄 | इखुं | ikʰũː | (ikhuṃ) | Noun | 1. swallow
𑐂𑐩𑐵 | इमा | ima | (imā) | Pronoun | 1. Devanagari_script form of imā (“this one”)
𑐂𑐩𑐹 | इमू | imuː | (imū) | Noun | 1. ant
𑐂𑐳𑐶 | इसि | isi | (isi) | Noun | 1. Devanagari_script form of isi (“sage, seer”)
𑐂𑐴𑐶𑐥𑐵 | इहिपा | ihipa | (ihipā) | Noun | 1. marriage
𑐃𑑄 | ईं | ĩː | (īṃ) | Noun | 1. sickle
𑐃𑐮𑐔𑑄 | ईलचं | iːlət͡ɕə̃ː | (īlacaṃ) | Noun | 1. clock
𑐄𑐳𑐵𑑃𑐫𑑂‌ | उसाँय्‌ | usæ̃ː | (usæ̃) | Noun | 1. health
𑐊𑐫𑑂 | एय् | eɛː | (eê) | _ | 1. Used to represent the [eɛː] sound in Newar
𑐎𑐟𑐵𑑃𑐩𑐬𑐷 | कताँमरी | kətãməɾiː | (katā̃marī) | Noun | 1. doll
𑐎𑐠𑐸 | कथु | kətʰu | (kathu) | Noun | 1. neck
𑐎𑑅𑐣𑐶 | कःनि | kəːni | (ka:ni) | Noun | 1. maize
𑐎𑑃𑐫𑑂 | कँय् | kɛ̃ː | (kễ) | Noun | 1. bronze
𑐎𑐫𑑂‌𑐩𑐶 | कय्‌मि | kɛːmi | (kêmi) | Noun | 1. magpie
𑐎𑐮𑐵𑑅 | कलाः | kəlaː | (kalā:) | Noun | 1. wife
𑐎𑐮𑑂𑐎𑐶𑐗𑑄𑐐𑑅 | कल्किझंगः | kəlkid͡ʑʱə̃ːɡəː | (kalkijhaṃga:) | Noun | 1. drongo
𑐎𑐰𑑄 | कवं | kəwɔ̃ː | (kawaṃ) | Noun | 1. skeleton
𑐎𑐳𑑂𑐟𑐶 | कस्ति | kəsti | (kasti) | Noun | 1. honey
